text,group,sentiment
положительно,10743,neutral
сходить,6794,positive
средний,7518,neutral
удовлетворять,17425,neutral
удовлетворять,17425,positive
удовлетворительно,7017,negative
удовлетворительный,1812,neutral
удовлетворительный (3/5),3581,positive
хороший,12231,neutral
хорошо,3824,neutral
вдохновение,13939,positive
вдохновенный,10441,negative
вдохновлять,9438,neutral
воодушевленный,6250,positive
мотивировать,16290,neutral
великолепный,15531,neutral
восторг,5613,positive
восхищение,7612,negative
замечательный,13494,neutral
изумительно,10433,positive
класс,7515,neutral
хорошо все,6157,neutral
огонь,2746,positive
отлично,947,negative
отличный,12777,neutral
радость,2841,positive
радостный,4898,neutral
со я все хорошо,12323,neutral
счастливый,4116,positive
тонус,12944,negative
чудненький,12126,neutral
ничто не тревожить. весь отличный,15696,positive
верить в хороший,7868,neutral
надежда,4541,neutral
оптимизм,8894,positive
вовлекать в работа,6552,negative
загружать,9439,neutral
загруженность,8888,positive
занимать,14458,neutral
занятость,630,neutral
как белка в колесо,13218,positive
на работа много чем дома.,5390,negative
нагруженность,9231,neutral
работа,2000,positive
работать,2191,neutral
работать,2191,neutral
рабочий,14201,positive
рабочий,14201,negative
восстановление,11768,neutral
сомнение,3571,positive
выгорание,2954,neutral
задолбанност,15923,neutral
изможденость,15496,positive
перегруз,6887,negative
уставать,7829,neutral
уставать кот,8276,positive
уставать,7829,neutral
усталость,9277,neutral
устаться,6476,positive
выдерживать,3132,negative
выживание,15257,neutral
высокий,15386,positive
гнев,1714,neutral
злость,13106,neutral
негодование,8649,positive
гнетущий,6823,negative
угнетать,7211,neutral
удручать,2356,positive
гордость,11126,neutral
готовый,9372,neutral
готовый быть мобилизовать если пр,6198,positive
готовый.,16732,negative
готовность,11614,neutral
решимость,11718,positive
уверенный,13948,neutral
уверять во все,4604,neutral
уверенный,13948,positive
увереность,6573,negative
грусть,1993,neutral
тоска,9609,positive
уныние,10819,neutral
хандра,5726,neutral
ступор,2611,positive
ждать повестка,12581,negative
ждать повестка,12581,neutral
мобилизация,4910,positive
могилизация,12796,neutral
задача определять,13208,neutral
задумчивость,17322,positive
информационный изоляция,16072,negative
не информированность,10356,neutral
искать равновесие,10700,positive
капучино,531,neutral
кризис,11798,neutral
лежать,8471,positive
интересно,10029,negative
любопытство,16342,neutral
на автомат,5750,positive
напрягать,15436,neutral
напряжение,10809,neutral
напряженный,17106,positive
напряженность,15913,negative
настороженность,17516,neutral
осторожность,16939,positive
все непонятно,7882,neutral
не понимание,1573,neutral
непонимание,104,positive
ничто не понимать,13126,negative
не ресурсный,11455,neutral
недовольство,4950,positive
неудовлетворенность,5778,neutral
недосып,8577,neutral
сонливый,10406,positive
сонливость,16611,negative
спать,5881,neutral
энергия,2735,positive
незнание,12337,neutral
неизвестность,7140,neutral
неизвестность,7140,positive
неопределенный,228,negative
неопределенный,228,neutral
неопределенность,13378,positive
неопределенность,13378,neutral
неясно,4138,neutral
подвешать,7314,positive
подвешенность,12996,negative
туман,14889,neutral
турбулентный,2445,positive
нейтральный,11586,neutral
непонятный,2596,neutral
эмоциональный усталость,10112,positive
непринятие,2643,negative
неприятие,1881,neutral
нервозность,6284,positive
нервный,12756,neutral
нерв,15737,neutral
неспокойный,17500,positive
нет будущее,932,negative
нет стабильность,11272,neutral
нет уверенность в завтрашний д,14437,positive
неуверенность,1726,neutral
неуверенность в будущее,1800,neutral
неуверенность в завтра,3561,positive
нутакой,8578,negative
ожидание определенность,9280,neutral
ожидание перемена,4392,positive
ожидание плохой,12350,neutral
ожидание полный коллапс,16338,neutral
опасение,10061,positive
опасение,10061,negative
предчувствие,14573,neutral
опустошать,9212,positive
опустошение,2314,neutral
опустошенность,808,neutral
пустота,14327,positive
ответственность,1576,negative
ощущение что что-то не то,73,neutral
дерьмовый,6758,positive
п#здец прощать,13,neutral
пиздец,1175,neutral
плохо,7303,positive
ужас,3114,negative
ужасно,12124,neutral
это пипец какой-то!,14212,positive
подавленный,14231,neutral
подавленность,3172,neutral
подавлять,9608,positive
разбивать,14622,negative
последовательность,15409,neutral
потерянность,12845,positive
рассредоточенность,9428,neutral
расстерянность,9403,neutral
растерянность,12543,positive
пофигизм,7335,negative
принятие,13649,neutral
смирение,12699,positive
работа на результат,1448,neutral
разнообразный,136,neutral
разочарование,4015,positive
скоро бы это заканчиваться,5317,negative
скрытый печаль,14093,neutral
сложно,5515,positive
тяжело,4507,neutral
смятение,15978,neutral
собранность,4597,positive
сосредоточенность,9995,negative
сожаление,246,neutral
стабильно,3685,positive
стабильный,7998,neutral
стабильность,6572,neutral
стагнация,2700,positive
стараться отвлекаться,6560,negative
стресс,17482,neutral
твик из южный парк,5410,positive
текущий положение в страна,13846,neutral
только вперед),6094,neutral
ультрамыслительный,2384,positive
упадок,17458,negative
упадок сила,11016,neutral
хаос,10175,positive
целеустремленность,14688,neutral
целеустремленность,14688,neutral
цель понятный,5333,positive
частый перепад настроение,14736,negative
эмоциональный мясорубка,16397,neutral
шок,16410,positive
полезный контакт,11313,neutral
дружба,2437,neutral
"общий видение, стремление",13627,positive
единый идея и контекст,4758,negative
интересно вместе,8495,neutral
обсуждение,4795,positive
группа человек. общий идея и целый,15299,neutral
единение,3845,neutral
единый интерес,14784,positive
общий ценность,6413,negative
разный вместе,6170,neutral
команда,11154,positive
обмен опыт,318,neutral
партнерство,15418,neutral
сотрудничество,10264,positive
единение,3845,negative
что-то общий,8593,neutral
поддержка,9750,positive
единомышленник,7347,neutral
много общий,6354,neutral
"коммуникация, обмен опыт",11471,positive
поддержка,9750,negative
поддержка,9750,neutral
коллективный разум,4679,positive
сотрудничество,10264,neutral
нетворкинг,10386,neutral
синергия,16735,positive
совместный общение,1531,negative
сотрудничество,10264,neutral
группа единомышленник,6173,positive
единомышленник,7347,neutral
группа единомышленник,6173,neutral
учиться далеко,15243,positive
проходить стажировка с росатома,5492,negative
продолжать учеба,11372,neutral
работа над себя,16890,positive
продолжать изучать,17464,neutral
далеко учиться,7133,neutral
учиться,4195,positive
интенсивно начинать учеба,7772,negative
читать,7362,neutral
продолжать работа в 3 д макса,10189,positive
практиковаться,11115,neutral
работать и участвовать в след,9716,neutral
хотеть на стажировка в росатый,11725,positive
учиться далеко,15243,negative
ждать следующий цех,8574,neutral
"учиться, учиться и еще раз...",7413,positive
работать над себя,7424,neutral
"обучение в вуз,",9825,neutral
"больше практиковаться, читать",16224,positive
продолжать изучать автокада,9043,negative
продолжать изучать компетенция,2853,neutral
идти на следующий,12398,positive
продолжать следить за росатый,15676,neutral
"учиться, работать",1691,neutral
развиваться далеко,4732,positive
пересматривать и тренироваться,12671,negative
учиться далеко,15243,neutral
учиться далеко и работать,1304,positive
стажировка в росатый,3786,neutral
хотеть ну аэс!!,6238,neutral
прокачка hard и soft skills,10154,positive
работать в росатома,15750,negative
сдавать демонстрационный экзамен,460,neutral
учиться,4195,positive
отдыхать,17198,neutral
следить за новость росатый,13652,neutral
искать знакомый,3796,positive
работать,2191,negative
начинать новый семестр,8479,neutral
продолжать учиться,14355,positive
отрабатывать получать навык,11854,neutral
практиковаться,11115,neutral
проходить практика от росатома,9101,positive
цель,1097,negative
цель,1097,neutral
планирование положительный ре,12315,positive
план для достижение цель,734,neutral
единый цель,10771,neutral
путь к цель,5552,positive
план для достижение цель,734,negative
долгосрочный план,8206,neutral
объедать план. набор цель,3541,positive
план действие для результат,8928,neutral
"план, достижение цель",16152,neutral
общий план,1645,positive
план достижение цель,9737,negative
комплекс положение,131,neutral
набор достижимый исчислять,8919,positive
положительный эмоция,3086,neutral
курс,12145,neutral
опра-е цель и способ достижный,11755,positive
цель к который вести план,13179,negative
достижение общий цель,14112,neutral
мероприятие для достижение целый,12798,positive
общий план действие,1088,neutral
план,12896,neutral
параметр и вариант развитие,4416,positive
генеральный направление разви,11434,negative
план,12896,neutral
план действие по достижение це,3580,positive
"идея, цель",11627,neutral
план по достижение цель,11639,neutral
конечный верхнеуровневый цель,9638,positive
участие в мастер-класс,2311,negative
успешный целеполагание,6710,neutral
путь вперед,14534,positive
определение долгосрочный цель,1682,neutral
куда идти,14107,neutral
план достижение цель,9737,positive
цель,1097,negative
движение к цель,6087,neutral
вкусно и точка!,12114,positive
высыпаться,12115,neutral
согласование документ,13659,neutral
не умирать,11519,positive
не посидеть,14914,negative
не сжог бухгалтерия,16920,neutral
выживать,5114,positive
тз спс,10835,neutral
выживать,5114,neutral
решение вопрос с доступ,1240,positive
ни с кто не подраться!,9793,negative
решать задача,15905,neutral
управлять лодка,16375,positive
атомкор,10123,neutral
"я женя касторн, я быть в отпу",14405,neutral
выживать,5114,positive
не побеждать,15079,negative
баланс,15300,neutral
длоррпииогмрогт,11829,positive
отпуск,3327,neutral
выживать!,8387,neutral
в цп выходить тимлиды,14755,positive
что я не инструктировать вообще,4474,negative
концепция ситуац руководство,11649,neutral
понятие ситуац руководство,3524,positive
быть ведущий стиль рука,7475,neutral
не всегда вести к место,13734,neutral
необходимо общаться,11966,positive
пока нет ответ,12887,negative
аналогия: река - бизнес - жизна,9103,neutral
уровень развитие,2494,positive
стиль руководство,1221,neutral
диагностика уровень развитие,5681,neutral
определение стиль руководство,11499,positive
уровень сотрудник и стиль упра,15206,negative
уровень себя как руководитель,12465,neutral
уровень развитие сотрудрик,5109,positive
стиль руководство,1221,neutral
собственный уровень развитие,2124,neutral
шикарный тренер,1011,positive
весь курс 😁,7134,negative
принцип на который основывать с,16402,neutral
диагностика,16543,positive
диагностика собственный стиль,1007,neutral
методика,14255,neutral
модель ситуационный подход,2087,positive
диагностика,16543,negative
увлекательный активность,4979,neutral
практика на «живой» человек,13187,positive
практика,10395,neutral
5-й день,10526,neutral
больше практический пример,14687,positive
объем дополнительный литература,13000,negative
определение тип лидер,2060,neutral
особенность взаимод-я тип,1672,positive
тип лидер,13496,neutral
коммуникация между лидер,11989,neutral
качество лидер,12520,positive
проходить практика на место,10291,negative
получать знание о тип лида,13348,neutral
все,6004,positive
понимать кто я лидер или руковод,10398,neutral
выбор стратегия влияние,8264,neutral
лидерский качество,12691,positive
подход по тип лидер,2518,negative
навык убеждение,10190,neutral
система PAEI,1612,positive
выяснять свой лидерский роль,6237,neutral
да,2578,neutral
да,2578,positive
да,2578,negative
да,2578,neutral
да,2578,positive
да,2578,neutral
lf,9562,neutral
да,2578,positive
да,2578,negative
да,2578,neutral
да,2578,positive
да,2578,neutral
да,2578,neutral
да,2578,positive
lf,9562,negative
да,2578,neutral
да,2578,positive
да,2578,neutral
да,2578,neutral
да,2578,positive
да,2578,negative
да,2578,neutral
да,2578,positive
да,2578,neutral
хотеть больший,13234,neutral
хорошо,3824,positive
4,10540,negative
слава бог,16640,neutral
все хорошо,10240,positive
идти на поправка,12766,neutral
тревожно,12988,neutral
по разный,15012,positive
тревожно,12988,negative
многозадачность,6357,neutral
напряженно,17101,positive
в стресс,10972,neutral
нормально,5004,neutral
плохо,7303,positive
много вопрос у клиент,2760,negative
сложно,5515,neutral
отлично,947,positive
чет не очень,16734,neutral
много задача,3389,neutral
много задача,3389,positive
напряженно,17101,negative
уставать,7829,neutral
много задача,3389,positive
удовлетворительно,7017,neutral
большой ожидание,2222,neutral
нормально,5004,positive
удовлетворять,17425,negative
требовательный,4901,neutral
терпимо,9534,positive
отлично,947,neutral
комфортно,15183,neutral
по разный,15012,positive
неспокойный,17500,negative
нервничать,3441,neutral
в поток,17363,positive
"уставать, напряженный",7812,neutral
хорошо,3824,neutral
удовлетворять,17425,positive
в ожидание,262,negative
настороженно,8131,neutral
отлично,947,positive
напряженно,17101,neutral
в тонус,6864,neutral
напряженно,17101,positive
напряженность,15913,negative
тревожно,12988,neutral
хорошо,3824,positive
тревожно,12988,neutral
гипермобилизация,6374,neutral
усталость,9277,positive
затравленномть,2891,negative
отлично,947,neutral
хорошо,3824,positive
равнодушно,3908,neutral
дееспособный,12345,neutral
безразличие,17040,positive
апатия,15686,negative
выгорание,2954,neutral
тревожно,12988,positive
ждать от мы решение проблема,13969,neutral
плохо,7303,neutral
полный загрузнуть,3108,positive
положительно,10743,negative
потерянный,7941,neutral
растерянно,15954,positive
с надежда,12462,neutral
удовлетворять,17425,neutral
хорошо,3824,positive
он весь вчера нужно,3773,negative
напряженно,17101,neutral
хорошо,3824,positive
хорошо,3824,neutral
удовлетворенно,7959,neutral
тревожно (не хотеть мы потерить,9993,positive
довольный,5424,negative
бодрый и веселый,13250,neutral
спокойно,9924,positive
тревожно,12988,neutral
неудовлетворительный,365,neutral
sense of urgency,9527,positive
неустойчиво,12101,negative
оживленно,8404,neutral
чувствовать наш внимание,6892,positive
средне,1009,neutral
хорошо,3824,neutral
хорошо,3824,positive
уставать от неопределенность,3953,negative
находиться в противостояние,11097,neutral
кто они?,6893,positive
хорошо,3824,neutral
волноваться,12316,neutral
напряженно,17101,positive
трудно,6663,negative
удовлетворять,17425,neutral
недооценивать,16585,positive
нормально,5004,neutral
хорошо,3824,neutral
удовлетворять,17425,positive
комфортно,15183,negative
отлично,947,neutral
загружать работа,9197,positive
счастливый,4116,neutral
не хватать внимание,13906,neutral
"тревожно, но нормально!",171,positive
не знать,4653,negative
по разный,15012,neutral
с мы комфортно,10244,positive
трудно,6663,neutral
комфортно,15183,neutral
настороженно,8131,positive
бояться,16681,negative
воодушевлять,14921,neutral
норма,8625,positive
напряжение,10809,neutral
уставать,7829,neutral
тревожность,10801,positive
открытость к эксперимент,12568,negative
уставать от я,3109,neutral
тревожно,12988,positive
тяжело,4507,neutral
работать,2191,neutral
приходить новый,10370,positive
нормально,5004,negative
нормально,5004,neutral
переживать,2259,positive
в борьба,1131,neutral
в отпуск,4210,neutral
не общаться с они,17178,positive
нервничать,3441,negative
удовлетворять,17425,neutral
трудно,6663,positive
торопиться,846,neutral
страшно,150,neutral
они страшно 100%,12960,positive
по-разному,4850,negative
нормально,5004,neutral
бояться,16681,positive
ужасно,12124,neutral
стабильно,3685,neutral
так себе,17517,positive
уставать,7829,negative
тяжело,4507,neutral
сумбурно,16288,positive
чувствовать,5674,neutral
грустный,14771,neutral
озадаченно,7012,positive
в ожидание перемена,14554,negative
хорошо,3824,neutral
взволновать,9045,positive
хорошо!,10581,neutral
тревожно,12988,neutral
много задача,3389,positive
отлично!,4783,negative
хорошо,3824,neutral
средне,1009,positive
плохо,7303,neutral
хорошо,3824,neutral
"""невспаханный поле""",8818,positive
1 страх,14490,negative
ограниченный время,6724,neutral
24 час в сутки,16507,positive
esg,892,neutral
qt creator,17182,neutral
амбициозный цель,5144,positive
анализ ошибка,13827,negative
антипрогресс,12842,neutral
бассейн,10396,positive
бви,13661,neutral
бедность,6684,neutral
безработица,15754,positive
болезнь,13911,negative
большой объем информация,13863,neutral
борьба,12018,positive
борьба с лень,12267,neutral
будильник,15420,neutral
быстротечность время,523,positive
быстрый ритм жизнь,14171,negative
быть хороший версия себя,7787,neutral
бюрократизация,12904,positive
бюрократизм,7281,neutral
бюрократия,12380,neutral
бюрократия в город,6239,positive
бюрократ,3895,negative
бюрократия многозадачность,15523,neutral
вдохновлять будущий результат,13692,positive
взаимодействие с человек,2267,neutral
взаимоотношение,1086,neutral
взрослаяжизнь,10489,positive
видеть только цель,192,negative
вкр,15834,neutral
диплом,180,positive
диплом 😅,13763,neutral
вкусный еда,14588,neutral
владимир путин,2642,positive
внедрение digital-технология,2718,negative
возможность получать опыт,5748,neutral
возраст,10263,positive
война,13420,neutral
сво,5311,neutral
вопрос ребенок,8041,positive
вредный начальник,16166,negative
начальник,10817,neutral
начальство,641,positive
время,4227,neutral
нехватка время,3647,neutral
все возможный,7710,positive
нет ничто невозможный,524,negative
весь новый,17181,neutral
все умный ты,1532,positive
всерасти,8437,neutral
вставать в 6 утро на работа,7525,neutral
вставать с кровать,8080,positive
выбор актуальный профессия,9858,negative
вывод из эксплуатация,9986,neutral
вызов,13277,positive
выходить из зона комфорт,3911,neutral
геополитический изменение,11042,neutral
гореть дедлайн,14797,positive
дедлайн,5620,negative
границаскитай,10260,neutral
два часовой,12215,positive
дорогой ипотека,13039,neutral
ипотека,6708,neutral
кредит,1565,positive
ставка по ипотека,13491,negative
достижение,3723,neutral
дэньга,2705,positive
з/п,11005,neutral
маленький зарплата,2919,neutral
нет деньги,12201,positive
ограниченный семейный бюджет,16143,negative
отсутствие деньги,6751,neutral
егэ,15693,positive
егэ ;(,5453,neutral
быть и не толстеть!,15360,neutral
закрытие спа в 22:00,17217,positive
закрытость,13412,negative
закупка,4523,neutral
зачет по английский,16830,positive
знание то что ты разбирать,5339,neutral
знание,14689,neutral
и незнание,716,positive
незнание,12337,negative
нехватка знание,3208,neutral
изменение мировой порядок,6361,positive
изменение,11638,neutral
импортозамещение,2906,neutral
камень,15782,positive
их преодолевание,2550,negative
преодоление препятствие,1535,neutral
карьерный портал росатый,5662,positive
карьерный портал росатома,4091,neutral
"карьерный портал росатома,",5189,neutral
кейс чемпионат вшэ,2677,positive
климат крайний север,9098,negative
когда в я не верить,6976,neutral
отсутствие вера в я,11659,positive
уверенность в себя,4137,neutral
коммуникация,17100,neutral
комфорт,9420,positive
конкурент,652,negative
конкуренция,5472,neutral
конкуренция конкуренция,1471,positive
соперничество,8237,neutral
консерватизм,3888,neutral
критика,352,positive
курсач,16255,negative
курсовой,2834,neutral
лежачий полицейский,9240,positive
лежачий полицейский,9240,neutral
лежать полицейский,9541,neutral
ленность,2156,positive
лень,4716,negative
лицензирование,5624,neutral
личный противоречие,12121,positive
личный барьер,2331,neutral
лсо,4090,neutral
льготник,768,positive
любовь,6409,negative
любой,12252,neutral
человек,12493,positive
человек бегать в 6:00,10021,neutral
маленький город,2944,neutral
мама,11681,positive
матанализ,16187,negative
много работа,4960,neutral
многозадачность,6357,positive
мотивация,2577,neutral
мурмурация,12097,neutral
наука))),8653,positive
не вдохновлять,13028,negative
не вдохновлять препятствие,16977,neutral
не какой,11597,positive
никакой,1359,neutral
отсутствовать,14108,neutral
невозможность,1365,positive
негибкий культура отрасль,13100,negative
негибкость коллега,1173,neutral
нежелание,6292,positive
нежелание человек делать хороший,3717,neutral
неизвестность,7140,neutral
неизученный технология,9932,positive
необходимость отказ от цель,10147,negative
непонимание,104,neutral
непонятный задача,158,positive
нереализованный возможность,15473,neutral
нерешенный вопрос,7986,neutral
нестабильность,6840,positive
нет повышение,9691,negative
новый вызов и перемена,8369,neutral
новый задача,8706,positive
нужно спать,14189,neutral
о.п. щербаков,16061,neutral
щербаков о.п.,3367,positive
щербаков ольга петровна,14232,negative
обэд,16034,neutral
ольга петровна щербаков,17206,positive
ограничение,11994,neutral
окружение,13468,neutral
отсутствие жилье,13570,positive
отсутствие информация,7104,negative
отсутствие опыт,4081,neutral
отсутствие препятствие,7075,positive
отсутствие свободный время,4201,neutral
первый пара,7915,neutral
переезд в новый страна,1333,positive
планирование,7550,negative
побороть себя,9311,neutral
побороть собственный лень,15889,positive
подготовка к олимпиада,7551,neutral
поиск новый решение,10932,neutral
получение научный степень,9460,positive
постановка эксперимент,6277,negative
поступление,10259,neutral
поступление на бютжет,2882,positive
практика,10395,neutral
преодоление санкция,11496,neutral
препятствие,12294,positive
препятствие - наличие препятси,12663,negative
препятствие не мочь вдохновлять,3722,neutral
препятствие не вдохновлять,17491,positive
проблема наука,4288,neutral
проблема с корпорат культура,6561,neutral
программирование,13975,positive
продвижение за счет связь,4235,negative
проект оптимизация и дебюр,2038,neutral
прокрастинация,545,positive
просыпаться,13124,neutral
профессиональный стресс,889,neutral
работа,2000,positive
работа в лаб до 23:00,17195,negative
работа над себя,16890,neutral
работа с неприятие,9713,positive
разбираться в человек,13329,neutral
развитие,11366,neutral
рандомность событие,475,positive
разногласие с руководство,14741,negative
рассказывать о главное,541,neutral
расстояние,8840,positive
решение нестандартный задача,8887,neutral
решение сложный задача,6726,neutral
росатый,17448,positive
рсо,4988,negative
самодисциплина,11061,neutral
самообладание,1385,positive
санкция,2984,neutral
свой предел отток персонал,14517,neutral
сделать зарядка после сон,11754,positive
сделать то что не мочь друг,10522,negative
сессия,10665,neutral
сисечка,15845,positive
система,836,neutral
система_образование,4505,neutral
ситуация в мир,16162,positive
ситуация в страна,9549,negative
скорость изменение,16417,neutral
сложность в мир,7427,positive
сложность решение проблема,10721,neutral
смена обстановка,11012,neutral
создание весь с ноль,12617,positive
сон,11683,negative
сопротивление изменение,1980,neutral
сопротивление коллега,6583,positive
спать два час,9096,neutral
спать хотеться,10793,neutral
старость,9306,positive
становиться президент,2719,negative
страх,8170,neutral
страх потеря близкие,3433,positive
технологический суверенитет,616,neutral
то что до я никто не делать,9321,neutral
ториевый цикл,16582,positive
травма нога,11210,negative
ты не смочь,13726,neutral
увеличение условие жизнь,13382,positive
умение находить компромисс,5291,neutral
универ,4735,neutral
успех,16935,positive
учеба,14192,negative
учеба,14192,neutral
учиться жить по новый,9856,positive
формализм,12108,neutral
холод,6441,neutral
цель,1097,positive
холодный море,4444,negative
цель устойчивый развитие,8900,neutral
цур,12825,positive
цена,2686,neutral
человеческий глупость,15725,neutral
чужой сила,15401,positive
чужой ошибка,12253,negative
чужой мнение,4878,neutral
экзамен,2429,positive
экология,7071,neutral
юниор росатома,10049,neutral
юха,9974,positive
я,3766,negative
я сам,15636,neutral
непонятный,2596,positive
нормально,5004,neutral
спокойный,8793,neutral
норма,8625,positive
так же,4386,negative
приболеть,5971,neutral
болеть,13020,positive
будто не быть праздник,11033,neutral
слишком активно для старт,4627,neutral
огонь,2746,positive
супер,151,negative
очень продуктивный,13916,neutral
очень активный,10207,positive
огонь,2746,neutral
понравиться,2855,neutral
шикарно,1404,positive
продуктивно,5017,negative
как и дизайн мг - буээ,4736,neutral
второй попытка входить в работа,3078,positive
“; drop table users;,13801,neutral
выключать будильник,7254,neutral
добрый утро,2591,positive
как выживать,7840,negative
как здорово что все мы здесь сегодня собираться,14472,neutral
карандаш,6442,positive
корондаш,7901,neutral
класно,9046,neutral
мир мир,12730,positive
мобилизация,4910,negative
опять,13804,neutral
опять осень,7996,positive
опять пасмурно,7044,neutral
пиво,4591,neutral
поспать бы еще,2295,positive
хотеть спать,13337,negative
просыпаться,13124,neutral
работа,2000,positive
сколько же они еще там…,1091,neutral
скоро бы этот кошмар проходить,9113,neutral
утречко,13902,positive
утро,6200,negative
затягивание процесс,16227,neutral
излишний требование,11990,positive
дублировать документ,15796,neutral
излишний отчет,7913,neutral
дублировать документ,15796,positive
избыток документ,2793,negative
подготовка бесполезный отчет,8946,neutral
дублировать документ,15796,positive
зарегламентированность,3918,neutral
дублировать документ,15796,neutral
незнание сотрудник,3716,positive
отсутствие цель,1341,negative
другой,8010,neutral
бумажный волокита,16253,positive
дублировать документ,15796,neutral
бумажный волокита,16253,neutral
бесполезный отчет,9946,positive
страх ответственность,6557,negative
избыточный согласование,5870,neutral
безразличие руководитель,2524,positive
большой количество отчет,8062,neutral
торможение бизнес,15900,neutral
отчетность,15938,positive
формализм,12108,negative
куча бумага,16849,neutral
лишний документ,5628,positive
система порядок,3405,neutral
документирование процесс,11138,neutral
бесполезный отчет,9946,positive
бумажный волокита,16253,negative
"нежелание меняться, негибкость",2773,neutral
медленный отклик на изменение,11686,positive
избыток согласование,15446,neutral
лишний процесс,14970,neutral
антиоптимизация,1898,positive
излишний отчетность,10379,negative
беготня,12765,neutral
бумажный волокита,16253,positive
излишний трудозатраты,7771,neutral
закостенелость мышление,9284,neutral
здоровый бюрократия это хорошо,8961,positive
волокита,5984,negative
торможение процесс док-обора.,16228,neutral
следование норма без польза,14402,positive
боязнь принимать решение,15988,neutral
система управление,9083,neutral
бумажный волокита,16253,positive
некомпетентность,13260,negative
инструкция,6438,neutral
порядок,4048,positive
руководство),4875,neutral
систематизация оформление,7450,neutral
большой количество этап реш,1470,positive
неповоротливость,11551,negative
плохо организованный процесс,8043,neutral
ненужный правило,12761,positive
перекладывание ответственность,12487,neutral
страх принятие ответственность,7430,neutral
сложность взаимодействие,15037,positive
много документ,278,negative
множество отчет,12590,neutral
прожигание ресурс,13973,positive
избыточность,3469,neutral
особый порядок представление д,7468,neutral
неэффективность,14430,positive
потеря время,3419,negative
сложный процесс согласование,2513,neutral
документ ради документ,5729,positive
бумажный документ,13687,neutral
черезмерный кол-во документ,11820,neutral
бумажный волокита,16253,positive
потеря время,3419,negative
непродуктивность,8399,neutral
затягивать срок выпуск докум,13733,positive
рег-цмя весь док и действие,11043,neutral
что-то ругательный))),16150,neutral
ненужный документ,1143,positive
затягивание процесс решение,7214,negative
бумажный волокита,16253,neutral
подход только по написать,12156,positive
дублирование действие,728,neutral
самодурство,3258,neutral
длительность процесс,6339,positive
увеличение время на процесс,7924,negative
фиксация на бумага,1308,neutral
